id,Timestamp,Day,Month ,Time,Date,AM or PM,text,link,is_retweet,retweets,favorites,replies
59,16/06/2017 14:08,Friday,June,14:08:00,16/06/2017,PM,Weekly Address - tune in! #MAGA http://45.wh.gov/heCnb3�https://twitter.com/WhiteHouse/status/875821844624011266��,https://twitter.com/POTUS/status/875822446473072640,FALSE,13000,59000,655
60,16/06/2017 09:25,Friday,June,09:25:00,16/06/2017,AM,Welcome home! #USAhttps://twitter.com/pacificcommand/status/875543990849880064��,https://twitter.com/POTUS/status/875751234862555136,FALSE,31000,15000,538
61,16/06/2017 08:05,Friday,June,08:05:00,16/06/2017,AM,"In Miami, @VP @StateDept @DHSgov have represented U.S. well, working with leaders to spur hemispheric security & prosperity. #CentAm2017",https://twitter.com/POTUS/status/875730999279333377,FALSE,22000,12000,920
62,16/06/2017 08:02,Friday,June,08:02:00,16/06/2017,AM,Headed to Miami to announce new U.S. policy on Cuba. We are going to empower the Cuban people and hold the regime accountable!,https://twitter.com/POTUS/status/875730318023692288,FALSE,68000,31000,36000
63,15/06/2017 12:49,Thursday,June,12:49:00,15/06/2017,PM,.@SecretaryAcosta 'President Trump knows: Apprenticeships will boost wages and fill jobs'http://www.desmoinesregister.com/story/opinion/columnists/2017/06/14/president-trump-knows-apprenticeships-boost-wages-and-fill-jobs/397009001/��,https://twitter.com/POTUS/status/875440026842267648,FALSE,25000,13000,11000
64,15/06/2017 11:53,Thursday,June,11:53:00,15/06/2017,AM,.@SecretaryCarson 'A path out of poverty: @HUDgov is matching public housing residents with local job opportunities'http://www.washingtontimes.com/news/2017/jun/14/poverty-can-be-exited-with-hud-matching-public-hou/��,https://twitter.com/POTUS/status/875426138335653888,FALSE,28000,12000,980
65,06/06/2017 17:59,Tuesday,June,17:59:00,06/06/2017,PM,"'Historic: 90% cut in new regs, costs slashed to just 0.12% of Obama's'http://www.washingtonexaminer.com/trump-slashes-output-of-regulations-90-costs-to-just-012-of-obamas/article/2625050��",https://twitter.com/POTUS/status/872256706423685121,FALSE,63000,22000,32000
66,06/06/2017 13:04,Tuesday,June,13:04:00,06/06/2017,PM,'You�ve Been Cleared for a Faster Landing: Trump�s air-traffic spinoff would be a great flight forward.' via @WSJhttp://www.wsj.com/articles/youve-been-cleared-for-a-faster-landing-1496705873��,https://twitter.com/POTUS/status/872182346103083008,FALSE,29000,13000,13000
67,06/06/2017 12:09,Tuesday,June,12:09:00,06/06/2017,PM,'Trump announces plan to privatize air traffic control system' via @dcexaminerhttp://www.washingtonexaminer.com/trump-announces-plan-to-privatize-air-traffic-control-system-we-are-proposing-to-take-american-air-travel-into-the-future/article/2624966��,https://twitter.com/POTUS/status/872168630959714308,FALSE,25000,13000,13000
68,06/06/2017 10:22,Tuesday,June,10:22:00,06/06/2017,AM,Today we remember the courage and bravery of our troops that stormed the beaches of Normandy 73 years ago. #DDaypic.twitter.com/7cP7dylEJv,https://twitter.com/POTUS/status/872141607801376768,FALSE,88000,35000,22000
69,05/06/2017 10:48,Monday,June,10:48:00,05/06/2017,AM,.@SecShulkin's decision is one of the biggest wins for our veterans in decades.pic.twitter.com/5JLkguD88Y,https://twitter.com/POTUS/status/871785817697660928,FALSE,59000,23000,19000
70,05/06/2017 06:05,Monday,June,06:05:00,05/06/2017,AM,"Today is going to be a big day for our Veterans, thanks to @SecShulkin. Stay tuned!",https://twitter.com/POTUS/status/871714538693021696,FALSE,47000,26000,19000
71,02/06/2017 16:18,Friday,June,16:18:00,02/06/2017,PM,Weekly Address - tune in! #MAGA http://45.wh.gov/grqEke�pic.twitter.com/x3Kw88f0De,https://twitter.com/POTUS/status/870781768303087616,FALSE,23000,11000,19000
72,29/05/2017 07:51,Monday,May,07:51:00,29/05/2017,AM,The violent attacks in Portland on Friday are unacceptable. The victims were standing up to hate and intolerance. Our prayers are w/ them.,https://twitter.com/POTUS/status/869204433418280961,FALSE,12000,54000,12000
73,26/05/2017 09:48,Friday,May,09:48:00,26/05/2017,AM,Join me as I deliver the Weekly Address and read more about our Taxpayer First Budget http://45.wh.gov/ZTZKTs�https://twitter.com/WhiteHouse/status/868146387720056833��,https://twitter.com/POTUS/status/868146917171224576,FALSE,22000,10000,18000
74,25/05/2017 13:25,Thursday,May,13:25:00,25/05/2017,PM,"""The NATO of the future must include a great focus on terrorism and immigration"" \n@POTUS @realDonaldTrump \nhttps://goo.gl/ITQC6u�",https://twitter.com/POTUS/status/867838998802202624,FALSE,49000,19000,18000
75,25/05/2017 13:23,Thursday,May,13:23:00,25/05/2017,PM,".@POTUS is right: ""attack on Manchester in the UK demonstrates the depths of the evil we face with terrorism."" https://goo.gl/ITQC6u�",https://twitter.com/POTUS/status/867838657767649286,FALSE,36000,15000,12000
76,25/05/2017 13:23,Thursday,May,13:23:00,25/05/2017,PM,".@POTUS trip brings ""renewed hope that nations of many faiths can unite to defeat terrorism"" \nhttps://goo.gl/ITQC6u�",https://twitter.com/POTUS/status/867838520911638528,FALSE,34000,15000,12000
77,25/05/2017 13:22,Thursday,May,13:22:00,25/05/2017,PM,".@POTUS stands with Manchester and the UK ""in our determination to defeat terrorism and achieve lasting security""https://goo.gl/QeWrM4�",https://twitter.com/POTUS/status/867838384009601024,FALSE,26000,14000,857
78,24/05/2017 07:07,Wednesday,May,07:07:00,24/05/2017,AM,New @HHSGov report shows premiums increased  105% under #ObamaCare. Not good! #RepealAndReplace this disaster! https://aspe.hhs.gov/system/files/pdf/256751/IndividualMarketPremiumChanges.pdf��,https://twitter.com/POTUS/status/867381525955956736,FALSE,36000,13000,26000
79,23/05/2017 11:02,Tuesday,May,11:02:00,23/05/2017,AM,Our budget puts American families FIRSThttp://45.wh.gov/ZnJPhf�pic.twitter.com/hIj3Bt7l7X,https://twitter.com/POTUS/status/867078297057984512,FALSE,36000,15000,39000
80,23/05/2017 10:53,Tuesday,May,10:53:00,23/05/2017,AM,Our budget makes national defense a top priority by increasing defense spending  by $54 BILLIONhttp://45.wh.gov/7A9LDL�pic.twitter.com/gx4Tqb5NXk,https://twitter.com/POTUS/status/867076155538628608,FALSE,31000,14000,29000
81,23/05/2017 05:15,Tuesday,May,05:15:00,23/05/2017,AM,We stand in absolute solidarity with the people of the United Kingdom.pic.twitter.com/P7c8CT7Dm8,https://twitter.com/POTUS/status/866990994427924480,FALSE,71000,32000,11000
82,20/05/2017 06:32,Saturday,May,06:32:00,20/05/2017,AM,THANK YOU to all members of the Armed Forces! http://45.wh.gov/Suvd33�pic.twitter.com/U4mzKJiyT2,https://twitter.com/POTUS/status/865923061928808448,FALSE,89000,32000,20000
83,19/05/2017 12:01,Friday,May,12:01:00,19/05/2017,PM,Weekly Address - tune in! #MAGA  http://45.wh.gov/3Kq9Fe�pic.twitter.com/EErOuNLhvO,https://twitter.com/POTUS/status/865643475307421698,FALSE,20000,84000,892
84,19/05/2017 11:16,Friday,May,11:16:00,19/05/2017,AM,'U.S. could get first paid family leave benefit under Trump budget proposal' https://www.washingtonpost.com/news/wonk/wp/2017/05/18/u-s-could-get-first-paid-family-leave-benefit-under-trump-plan/?utm_term=.da7f95d1ce40��pic.twitter.com/fvtY9jKWrJ,https://twitter.com/POTUS/status/865632320006397954,FALSE,34000,12000,15000
85,19/05/2017 07:26,Friday,May,07:26:00,19/05/2017,AM,Getting ready for my big foreign trip. Will be strongly protecting American interests - that's what I like to do!,https://twitter.com/POTUS/status/865574295510102019,FALSE,73000,40000,83000
86,17/05/2017 14:28,Wednesday,May,14:28:00,17/05/2017,PM,Thank you @USCGAcademy!\nhttps://instagram.com/p/BUNVlNTgcPv/�pic.twitter.com/4UROKGuokl,https://twitter.com/POTUS/status/864955739336564736,FALSE,36000,17000,20000
87,17/05/2017 14:19,Wednesday,May,14:19:00,17/05/2017,PM,Congratulations @USCGAcademy!\n#HonorRespectDevotiontoDuty https://instagram.com/p/BUNVHNogBXS/�pic.twitter.com/SPLJ47lBaP,https://twitter.com/POTUS/status/864953536337018880,FALSE,31000,15000,13000
88,13/05/2017 12:21,Saturday,May,12:21:00,13/05/2017,PM,"Relish the opp to be an outsider. Embrace that label- b/c it�s the outsiders who change the world, and who make a real & lasting difference!",https://twitter.com/POTUS/status/863474401035137024,FALSE,85000,32000,60000
89,13/05/2017 07:53,Saturday,May,07:53:00,13/05/2017,AM,Join me live for a couple of minutes at @LibertyU!https://www.pscp.tv/w/a-XDzTFlZGpuTFBZWnh6UW98MVlwS2tuak9ZZ0F4ak3OqilBBb3fJztlXpzmWcb3zBln0kxxvgzZgHoYv0yZ��,https://twitter.com/POTUS/status/863406734324318208,FALSE,56000,19000,35000
90,13/05/2017 07:07,Saturday,May,07:07:00,13/05/2017,AM,Join me LIVE as I deliver remarks at the @LibertyU commencement ceremony: http://45.wh.gov/yC4dRy�pic.twitter.com/HcTyfXGmqG,https://twitter.com/POTUS/status/863395165540626432,FALSE,21000,11000,20000
91,12/05/2017 15:31,Friday,May,15:31:00,12/05/2017,PM,Terrible two weeks for disastrous #Obamacare!pic.twitter.com/AnFL8LXFn5,https://twitter.com/POTUS/status/863159634814787586,FALSE,45000,14000,47000
92,12/05/2017 12:40,Friday,May,12:40:00,12/05/2017,PM,Weekly Address - tune in! #MAGA  http://45.wh.gov/GrYott�pic.twitter.com/2KS4jjrDVr,https://twitter.com/POTUS/status/863116795690995712,FALSE,17000,77000,12000
93,12/05/2017 07:55,Friday,May,07:55:00,12/05/2017,AM,'Farmers Know the Benefits of Trade' via @SecretarySonny Perdue-https://www.wsj.com/articles/farmers-know-the-benefits-of-trade-1494455790��,https://twitter.com/POTUS/status/863044980444725248,FALSE,24000,11000,11000
94,11/05/2017 09:00,Thursday,May,09:00:00,11/05/2017,AM,'Continued Jobless Claims at Lowest Level in 28 Years'http://45.wh.gov/KcXFB7�,https://twitter.com/POTUS/status/862698998645354498,FALSE,39000,15000,40000
95,11/05/2017 08:20,Thursday,May,08:20:00,11/05/2017,AM,The death spiral with disastrous Obamacare- continues.\n\n'Aetna Is Latest Health Insurer to Quit #Obamacare Markets'http://45.wh.gov/eQHADC�,https://twitter.com/POTUS/status/862688820537552896,FALSE,46000,14000,38000
96,10/05/2017 12:25,Wednesday,May,12:25:00,10/05/2017,PM,Dems have been complaining for months & months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!,https://twitter.com/POTUS/status/862388064014020608,FALSE,88000,36000,93000
97,09/05/2017 19:48,Tuesday,May,19:48:00,09/05/2017,PM,"Cryin' Chuck Schumer stated recently, ""I do not have confidence in him (James Comey) any longer."" Then acts so indignant.  #draintheswamp",https://twitter.com/POTUS/status/862137349530161155,FALSE,89000,33000,10000
98,09/05/2017 14:37,Tuesday,May,14:37:00,09/05/2017,PM,"'Manufacturing openings, hires rise to highest levels of the recovery'http://www.washingtonexaminer.com/manufacturing-openings-hires-rise-to-highest-levels-of-the-recovery/article/2622515��",https://twitter.com/POTUS/status/862058856767205378,FALSE,27000,13000,19000
99,09/05/2017 14:36,Tuesday,May,14:36:00,09/05/2017,PM,"It was an honor to welcome the Teachers of the Year to the WH last month. Today, we honor and thank all teachers! #NationalTeachersDaypic.twitter.com/eUrdpysoRR",https://twitter.com/POTUS/status/862058653502902273,FALSE,27000,15000,14000
100,08/05/2017 17:06,Monday,May,17:06:00,08/05/2017,PM,Biggest story today between Clapper & Yates is on surveillance. Why doesn't the media report on this? #FakeNews!,https://twitter.com/POTUS/status/861734129339072513,FALSE,43000,18000,43000
101,08/05/2017 17:06,Monday,May,17:06:00,08/05/2017,PM,"The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?",https://twitter.com/POTUS/status/861734061492121600,FALSE,51000,22000,79000
102,08/05/2017 17:05,Monday,May,17:05:00,08/05/2017,PM,Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!,https://twitter.com/POTUS/status/861733917807738880,FALSE,33000,17000,30000
103,08/05/2017 17:05,Monday,May,17:05:00,08/05/2017,PM,"Director Clapper reiterated what everybody, including the fake media already knows- there is ""no evidence"" of collusion w/ Russia and Trump.",https://twitter.com/POTUS/status/861733889173336064,FALSE,66000,24000,39000
104,08/05/2017 08:47,Monday,May,08:47:00,08/05/2017,AM,"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Counsel.",https://twitter.com/POTUS/status/861608434667585538,FALSE,60000,21000,60000
105,07/05/2017 20:45,Sunday,May,20:45:00,07/05/2017,PM,"Congratulations #MedalOfHonor recipient, Ty Michael Carter! #Herohttps://twitter.com/secshulkin/status/860307594912641029��",https://twitter.com/POTUS/status/861426759862022144,FALSE,30000,14000,777
106,05/05/2017 15:16,Friday,May,15:16:00,05/05/2017,PM,"Meet Lieutenant Jack Powers, an incredible American war hero who fought in the Battle of the Coral Sea http://45.wh.gov/xLc8BT�pic.twitter.com/1jPLcLaB9L",https://twitter.com/POTUS/status/860619211441266689,FALSE,33000,15000,17000
107,05/05/2017 08:35,Friday,May,08:35:00,05/05/2017,AM,Weekly Address - tune in! #MAGA  http://45.wh.gov/QPcBSm�pic.twitter.com/7R3buX8L72,https://twitter.com/POTUS/status/860518428112592896,FALSE,20000,81000,11000
108,05/05/2017 07:54,Friday,May,07:54:00,05/05/2017,AM,"#AHCA will help ALL, incl those in IA who will lose coverage if Medica leaves! It's time to fix this broken system!http://www.washingtonexaminer.com/third-insurer-looks-to-leave-iowa-obamacare-exchange/article/2621977��",https://twitter.com/POTUS/status/860508085126926336,FALSE,26000,10000,24000
109,04/05/2017 16:49,Thursday,May,16:49:00,04/05/2017,PM,Watch live as I give remarks commemorating the 75th anniversary of the Battle of the Coral Sea: http://45.wh.gov/8KkL9D�pic.twitter.com/1Nig9gX071,https://twitter.com/POTUS/status/860280359010918401,FALSE,19000,10000,20000
110,03/05/2017 19:51,Wednesday,May,19:51:00,03/05/2017,PM,Thank you @Franklin_Graham.https://twitter.com/franklin_graham/status/859822702646919168��,https://twitter.com/POTUS/status/859963591226789889,FALSE,53000,19000,26000
111,03/05/2017 08:06,Wednesday,May,08:06:00,03/05/2017,AM,"Join me along w/ @VP Pence & @BetsyDeVosED at a school choice event in the Roosevelt Room, here at the @WhiteHouse: http://45.wh.gov/Laipqh�pic.twitter.com/NRPoLtsJy3",https://twitter.com/POTUS/status/859786181537669120,FALSE,21000,11000,17000
112,02/05/2017 14:46,Tuesday,May,14:46:00,02/05/2017,PM,"It's an honor to serve as your Commander-in-Chief! Congratulations on winning the Commander-in-Chief's Trophy, @AFFootball!pic.twitter.com/F3aO4QTs7y",https://twitter.com/POTUS/status/859524444502536192,FALSE,38000,19000,18000
113,01/05/2017 13:57,Monday,May,13:57:00,01/05/2017,PM,This month we celebrate the contributions of Asian Americans & Pacific Islanders that enrich our Nation: http://45.wh.gov/7F3zV2�,https://twitter.com/POTUS/status/859149891951632384,FALSE,29000,15000,20000
114,28/04/2017 12:26,Friday,April,12:26:00,28/04/2017,PM,Weekly Address - tune in! #MAGA  http://45.wh.gov/hbohsK�pic.twitter.com/oq43Kezh0Q,https://twitter.com/POTUS/status/858039693857832960,FALSE,23000,98000,16000
115,28/04/2017 09:23,Friday,April,09:23:00,28/04/2017,AM,Watch live as I deliver remarks at the @NRA Leadership Forum: http://45.wh.gov/g6yQhM�pic.twitter.com/aeQmFVLJZq,https://twitter.com/POTUS/status/857993646376931328,FALSE,31000,13000,25000
116,27/04/2017 13:31,Thursday,April,13:31:00,27/04/2017,PM,Watch LIVE from the @DeptVetAffairs as I sign an EO on improving accountability & whistleblower protection: http://45.wh.gov/BHuQrZ�pic.twitter.com/UqTWK6Utnt,https://twitter.com/POTUS/status/857693739208380417,FALSE,22000,10000,13000
117,26/04/2017 16:02,Wednesday,April,16:02:00,26/04/2017,PM,"HAPPY BIRTHDAY to our @FLOTUS, Melania! http://45.wh.gov/9zVkh6�https://twitter.com/WhiteHouse/status/857339509645746178��",https://twitter.com/POTUS/status/857369229246509056,FALSE,45000,26000,23000
118,25/04/2017 14:17,Tuesday,April,14:17:00,25/04/2017,PM,"Together, we will make #manufacturing great again!https://twitter.com/shopfloornam/status/856531179079651328��",https://twitter.com/POTUS/status/856980580709412864,FALSE,34000,16000,27000
119,25/04/2017 10:53,Tuesday,April,10:53:00,25/04/2017,AM,Remarks at the United States Holocaust Memorial Museum's National Days of Remembrance. \nFull remarks: http://45.wh.gov/JNe7BJ�pic.twitter.com/5nRqkZh9fs,https://twitter.com/POTUS/status/856929264523935745,FALSE,29000,13000,13000
120,25/04/2017 06:31,Tuesday,April,06:31:00,25/04/2017,AM,Congratulations to @SecretarySonny on being confirmed as the 31st @USDA Secretary! -DJT,https://twitter.com/POTUS/status/856863322494447617,FALSE,35000,19000,11000
121,24/04/2017 15:46,Monday,April,15:46:00,24/04/2017,PM,Thank you @RepRodBlum!https://twitter.com/reprodblum/status/856598713250263041��,https://twitter.com/POTUS/status/856640595145756673,FALSE,31000,15000,21000
122,24/04/2017 15:31,Monday,April,15:31:00,24/04/2017,PM,Join @VP Pence as he makes remarks to our amazing service members at @JointBasePHH.https://twitter.com/deptofdefense/status/856632598638075904��,https://twitter.com/POTUS/status/856636700331843584,FALSE,20000,11000,773
