StateFIPCode,ZipCode,StateAbbr,City,Longitude,Latitude,Population,AllocationPercentage
08,80237,CO,DENVER,104.89866000,39.64314000,14211,.0043140000
08,80239,CO,DENVER,104.82883700,39.78775700,17622,.0053490000
08,80241,CO,NORTHGLENN,104.94180900,39.92779200,10108,.0030680000
08,80249,CO,DENVER,104.75565000,39.77826400,2740,.0008320000
08,80301,CO,BOULDER,105.21426000,40.04973300,18174,.0055170000
08,80302,CO,BOULDER,105.28513100,40.01723500,29384,.0089190000
08,80303,CO,BOULDER,105.23917800,39.99138100,39860,.0120990000
08,80304,CO,BOULDER,105.27707300,40.03748200,21550,.0065410000
08,80401,CO,GOLDEN,105.19152800,39.73054800,32876,.0099790000
08,80403,CO,GOLDEN,105.28251600,39.82321900,13159,.0039940000
08,80421,CO,BAILEY,105.46928200,39.44823300,4448,.0013500000
08,80422,CO,BLACK HAWK,105.50399100,39.80110500,551,.0001670000
08,80423,CO,BOND,106.67627300,39.86911900,149,.0000450000
08,80428,CO,CLARK,106.92148200,40.72678300,455,.0001380000
08,80429,CO,CLIMAX,106.25802700,39.29880400,346,.0001050000
08,80430,CO,COALMONT,106.53213400,40.53825200,88,.0000270000
08,80433,CO,CONIFER,105.31687300,39.51973500,5919,.0017970000
08,80435,CO,KEYSTONE,106.05734500,39.57482700,12881,.0039100000
08,80439,CO,EVERGREEN,105.34024800,39.63740500,19250,.0058430000
08,80440,CO,FAIRPLAY,105.99941600,39.22561700,1030,.0003130000
08,80441,CO,FOXTON,105.24815000,39.37205600,127,.0000390000
08,80446,CO,GRANBY,105.88991600,40.01283400,4839,.0014690000
08,80447,CO,GRAND LAKE,105.86048800,40.22886200,1202,.0003650000
08,80452,CO,IDAHO SPRINGS,105.59826100,39.74019200,5113,.0015520000
08,80455,CO,JAMESTOWN,105.41897100,40.10056000,654,.0001990000
08,80456,CO,JEFFERSON,105.78633000,39.30092600,157,.0000480000
08,80459,CO,KREMMLING,106.39547200,40.06322400,1580,.0004800000
08,80461,CO,LEADVILLE,106.30154500,39.24974200,5544,.0016830000
08,80463,CO,MC COY,106.73090600,39.91337700,61,.0000190000
08,80465,CO,MORRISON,105.17464100,39.61245200,13657,.0041460000
08,80466,CO,NEDERLAND,105.48126500,39.97025900,2621,.0007960000
08,80467,CO,OAK CREEK,106.92962100,40.25673300,1135,.0003450000
08,80468,CO,PARSHALL,106.22549200,40.05376500,345,.0001050000
08,80470,CO,PINE,105.37411600,39.46667000,2827,.0008580000
08,80471,CO,PINECLIFFE,105.35400400,39.94289800,225,.0000680000
08,80474,CO,ROLLINSVILLE,105.47259600,39.91075700,343,.0001040000
08,80479,CO,TOPONAS,106.90817200,40.11960100,697,.0002120000
08,80480,CO,WALDEN,106.27672800,40.70997800,1517,.0004600000
08,80481,CO,WARD,105.50802300,40.07257200,159,.0000480000
08,80487,CO,STEAMBOAT SPRING,106.84570000,40.47412400,9773,.0029670000
08,80501,CO,LONGMONT,105.10095000,40.17792100,47166,.0143170000
08,80503,CO,LONGMONT,105.16243200,40.15588000,16814,.0051040000
08,80504,CO,LONGMONT,104.95044600,40.13061500,3716,.0011280000
08,80510,CO,ALLENSPARK,105.52006400,40.22677500,183,.0000560000
